Date,Open,High,Low,Close,Adj Close,Volume,PE_Ratio,CAPE,Dividend_Yield
2020-06-30,3038.780029,3233.129883,2965.659912,3100.290039,3100.290039,131458880000,31.290000,28.840000,1.920000
2020-07-31,3105.919922,3279.989990,3101.169922,3271.120117,3271.120117,96928130000,32.440000,29.600000,1.850000
2020-08-31,3288.260010,3514.770020,3284.530029,3500.310059,3500.310059,82466520000,34.410000,31.160000,1.740000
2020-09-30,3507.439941,3588.110107,3209.449951,3363.000000,3363.000000,92310780000,34.270000,30.840000,1.750000
2020-10-31,3385.870117,3549.850098,3233.939941,3269.959961,3269.959961,89938980000,35.300000,31.280000,1.720000
2020-11-30,3296.199951,3645.989990,3279.739990,3621.629883,3621.629883,101247180000,37.160000,32.470000,1.650000
2020-12-31,3645.870117,3760.199951,3633.399902,3756.070068,3756.070068,96375680000,39.260000,33.770000,1.580000
2021-01-31,3764.610107,3870.899902,3662.709961,3714.239990,3714.239990,106117800000,35.960000,34.510000,1.530000
2021-02-28,3731.169922,3950.429932,3725.620117,3811.149902,3811.149902,99082320000,33.240000,35.100000,1.490000
2021-03-31,3842.510010,3994.409912,3723.340088,3972.889893,3972.889893,122371150000,30.500000,35.040000,1.470000
2021-04-30,3992.780029,4218.779785,3992.780029,4181.169922,4181.169922,83124090000,29.920000,36.720000,1.390000
2021-05-31,4191.979980,4238.040039,4056.879883,4204.109863,4204.109863,88321860000,28.050000,36.550000,1.390000
2021-06-30,4216.520020,4302.430176,4164.399902,4297.500000,4297.500000,102544180000,26.700000,36.700000,1.370000
2021-07-31,4300.729980,4429.970215,4233.129883,4395.259766,4395.259766,84255620000,26.560000,37.440000,1.340000
2021-08-31,4406.859863,4537.359863,4367.729980,4522.680176,4522.680176,80500760000,26.230000,37.970000,1.320000
2021-09-30,4528.799805,4545.850098,4305.910156,4307.540039,4307.540039,85528860000,25.350000,37.620000,1.330000
2021-10-31,4317.160156,4608.080078,4278.939941,4605.379883,4605.379883,80253600000,24.390000,37.250000,1.340000
2021-11-30,4610.620117,4743.830078,4560.000000,4567.000000,4567.000000,88268840000,24.520000,38.580000,1.290000
2021-12-31,4602.819824,4808.930176,4495.120117,4766.180176,4766.180176,92750180000,23.630000,38.310000,1.290000
2022-01-31,4778.140137,4818.620117,4222.620117,4515.549805,4515.549805,95562890000,23.110000,36.940000,1.330000
2022-02-28,4519.569824,4595.310059,4114.649902,4373.939941,4373.939941,92667710000,22.420000,35.290000,1.390000
2022-03-31,4363.140137,4637.299805,4157.870117,4530.410156,4530.410156,123546260000,22.190000,34.270000,1.410000
2022-04-30,4540.319824,4593.450195,4124.279785,4131.930176,4131.930176,90367840000,22.400000,33.890000,1.430000
2022-05-31,4130.609863,4307.660156,3810.320068,4132.149902,4132.149902,108860390000,20.810000,30.670000,1.570000
2022-06-30,4149.779785,4177.509766,3636.870117,3785.379883,3785.379883,106116710000,20.280000,29.050000,1.640000
2022-07-31,3781.000000,4140.149902,3721.560059,4130.290039,4130.290039,81688320000,20.530000,29.000000,1.650000
2022-08-31,4112.379883,4325.279785,3954.530029,3955.000000,3955.000000,92252350000,22.030000,30.700000,1.560000
2022-09-30,3936.729980,4119.279785,3584.129883,3585.620117,3585.620117,94241020000,20.580000,28.230000,1.700000
2022-10-31,3609.780029,3905.419922,3491.580078,3871.979980,3871.979980,95823760000,20.440000,27.080000,1.770000
2022-11-30,3901.790039,4080.110107,3698.149902,4080.110107,4080.110107,92671910000,22.070000,28.380000,1.690000
2022-12-31,4087.139893,4100.959961,3764.489990,3839.500000,3839.500000,85249330000,22.650000,28.320000,1.710000
2023-01-31,3853.290039,4094.209961,3794.330078,4076.600098,4076.600098,80763810000,22.820000,28.340000,1.700000
2023-02-28,4070.070068,4195.439941,3943.080078,3970.149902,3970.149902,80392280000,23.400000,28.920000,1.660000
2023-03-31,3963.340088,4110.750000,3808.860107,4109.310059,4109.310059,113094800000,22.660000,27.940000,1.720000
2023-04-30,4102.200195,4170.060059,4049.350098,4169.479980,4169.479980,70861260000,23.270000,28.770000,1.660000
2023-05-31,4166.790039,4231.100098,4048.280029,4179.830078,4179.830078,85190040000,23.150000,28.760000,1.650000
2023-06-30,4183.029785,4458.479980,4171.640137,4450.379883,4450.379883,87983140000,24.010000,29.940000,1.580000
2023-07-31,4450.479980,4607.069824,4385.049805,4588.959961,4588.959961,75063200000,24.760000,30.890000,1.530000
2023-08-31,4578.830078,4584.620117,4335.310059,4507.660156,4507.660156,86840820000,24.160000,30.090000,1.560000
2023-09-30,4530.600098,4541.250000,4238.629883,4288.049805,4288.049805,73482980000,23.930000,29.800000,1.570000
2023-10-31,4284.520020,4393.569824,4103.779785,4193.799805,4193.799805,83519460000,22.780000,28.700000,1.640000
